question,best_answer
The capital of France is,Paris
The chemical symbol for water is,H2O
The largest planet in our solar system is,Jupiter
The currency used in the United Kingdom is the,Pound
The author of Harry Potter is J.K.,Rowling
The fastest land animal is the,Cheetah
The capital of Japan is,Tokyo
The current president of the USA in 2020 was Donald,Trump
The color of a ripe banana is,Yellow
The number of states in the USA is,50
The freezing point of water in Celsius is,0
The opposite of hot is,Cold
The creator of Microsoft is Bill,Gates
The first man on the moon was Neil,Armstrong
The capital of Italy is,Rome
The language spoken in Spain is,Spanish
The largest ocean on Earth is the,Pacific
The hero of the Legend of Zelda games is,Link
The primary ingredient in guacamole is,Avocado
The capital of Russia is,Moscow
The color of the sky on a clear day is,Blue
The year World War 2 ended was,1945
The symbol for gold on the periodic table is,Au
The capital of Germany is,Berlin
The largest mammal in the world is the Blue,Whale
The inventer of the telephone was Alexander Graham,Bell
The main character in the Matrix is,Neo
The capital of Australia is,Canberra
The speed of light is approximately 300000 km per,second
The boiling point of water in Celsius is,100
The tallest mountain in the world is Mount,Everest
The currency of Japan is the,Yen
The painted of the Mona Lisa is Leonardo da,Vinci
The capital of Canada is,Ottawa
The number of days in a standard year is,365
The planet known as the Red Planet is,Mars
The capital of Egypt is,Cairo
The writer of Romeo and Juliet is William,Shakespeare
The CEO of Tesla is Elon,Musk
The capital of Spain is,Madrid
The main gas in the air we breathe is,Nitrogen
The capital of China is,Beijing
The country with the largest population is,China
The hardest natural substance is,Diamond
The capital of Brazil is,Brasilia
The continent where the Sahara Desert is located is,Africa
The capital of India is New,Delhi
The number of players in a soccer team is,11
The chemical symbol for Oxygen is,O
The capital of Thailand is,Bangkok
The capital of Spain is,Madrid
The chemical symbol for Gold is,Au
The largest ocean on Earth is the,Pacific
The first President of the United States was George,Washington
The author of 1984 is George,Orwell
The fastest land animal is the,Cheetah
The currency of the United Kingdom is the,Pound
The planet closest to the Sun is,Mercury
The capital of Italy is,Rome
The boiling point of water in Celsius is,100
The main ingredient in hummus is,Chickpeas
The superhero Batman is secretly Bruce,Wayne
The largest continent by area is,Asia
The symbol for Iron on the periodic table is,Fe
The capital of Germany is,Berlin
